Key,English Text,Russian Translation
"EP-A2A7-BASE-002.v1","Emotions can arrive quickly for you - clear, vivid, and hard to ignore. The upside is honesty: you often know what you feel in the moment, and it moves through you rather than staying stuck.",""
"EP-A2A7-BASE-002.v2","You may notice fast activation and release in your experience. Your A2 axis shapes how this pattern shows up for you.",""
"EP-A2A7-BASE-002.v3","Your emotional system tends to respond in real time. You’re often aware of what you’re feeling right away, and you recover faster when you let the emotion have its moment instead of suppressing it.",""
"EP-A2A7-BASE-003.v1","You often feel emotionally steady, and you don’t shift moods without a reason. At times, the first sign something is wrong is subtle - your body or patience notices it before your mind fully does.",""
"EP-A2A7-BASE-003.v2","Your default emotional state tends to be consistent. You may not register small changes immediately, but when a feeling becomes clear, it usually points to something important.",""
"EP-A2A7-BASE-003.v3","It can take a while for emotions to ‘arrive’ for you. You’re often calm in the moment, and then later you realize what that situation actually meant to you.",""
"EP-A2A7-BASE-004.v1","You tend to pick up emotional signals in your environment - tone, distance, tension - sometimes before anyone says a word. That sensitivity can make you deeply attuned, but it can also feel like you’re carrying more than what is yours.",""
"EP-A2A7-BASE-004.v2","You may notice high sensitivity to emotional atmosphere in your experience. Your A2 axis shapes how this pattern shows up for you.",""
"EP-A2A7-BASE-004.v3","You often read the room instinctively. When things are calm, it feels supportive; when the atmosphere is charged, it can quietly drain you even if nothing ‘happens’ on the surface.",""
"EP-A2A7-BASE-005.v1","You often feel first and make sense of it second. The emotional signal comes fast, while the explanation arrives later - once you’ve had time to reflect and connect the dots.",""
"EP-A2A7-BASE-005.v2","Your emotions can be the first indicator that something matters, even before you can justify it logically. Over time, you usually find the reason underneath the feeling.",""
"EP-A2A7-BASE-005.v3","For you, emotional clarity often precedes mental clarity. You may not be able to explain your reaction immediately, but your system is often pointing to a real need or boundary.",""
"EP-A2A7-BASE-006.v1","You can be emotionally open, but usually on your own terms. You may share the truth of what you feel only once you trust the space won’t demand more from you than you’re ready to give.",""
"EP-A2A7-BASE-006.v2","You tend to protect your softer feelings until you’re sure they’ll be received with respect. This can look reserved, yet it often comes from valuing emotional safety, not from lack of depth.",""
